"Name_std" "mass"
"Eupithecia indigata" 0.00248653525843811
"Eupithecia innotata" 0.00418072945559607
"Eupithecia insigniata" 0.00375759016085512
"Eupithecia intricata" 0.00463172595359071
"Eupithecia inturbata" 0.00233049195681478
"Eupithecia irriguata" 0.00336166172754934
"Eupithecia lanceata" 0.00299228571690412
"Eupithecia laquaearia" 0.00248653525843811
"Eupithecia lariciata" 0.00375759016085512
"Eupithecia linariata" 0.00248653525843811
"Eupithecia nanata" 0.00218057296876312
"Eupithecia ochridata" 0.00440270561066726
"Eupithecia orphnata" 0.00336166172754934
"Eupithecia pernotata" 0.00317369631509547
"Eupithecia pimpinellata" 0.00463172595359071
"Eupithecia plumbeolata" 0.00281734561011463
"Eupithecia pusillata" 0.00336166172754934
"Eupithecia pyreneata" 0.00264879081358732
"Eupithecia satyrata" 0.00418072945559607
"Eupithecia schiefereri" 0.00463172595359071
"Eupithecia selinata" 0.00375759016085512
"Eupithecia semigraphata" 0.00418072945559607
"Eupithecia silenata" 0.00375759016085512
"Eupithecia sinuosaria" 0.00440270561066726
"Eupithecia subfuscata" 0.00299228571690412
"Eupithecia subumbrata" 0.00375759016085512
"Eupithecia succenturiata" 0.00463172595359071
"Eupithecia tantillaria" 0.00299228571690412
"Eupithecia tenuiata" 0.00218057296876312
"Eupithecia tripunctaria" 0.00336166172754934
"Eupithecia trisignaria" 0.00299228571690412
"Eupithecia undata" 0.00281734561011463
"Eupithecia valerianata" 0.00299228571690412
"Eupithecia venosata" 0.00486786950220859
"Eupithecia veratraria" 0.007022721856594
"Eupithecia virgaureata" 0.00375759016085512
"Eupithecia vulgata" 0.00336166172754934
"Euplagia quadripunctaria" 0.0813298321202299
"Euplexia lucipara" 0.0407108963337271
"Euproctis chrysorrhoea" 0.0221685652908289
"Eupsilia transversa" 0.061681931800524
"Eurois occulta" 0.088958066580529
"Eustroma reticulata" 0.00643866070670749
"Eutelia adulatrix" 0.0186552726586781
"Euthrix potatoria" 0.147276782342873
"Euxoa aquilina" 0.0426381486857565
"Euxoa birivia" 0.0476235124594299
"Euxoa cos" 0.0408508638161236
"Euxoa culminicola" 0.0549988349245568
"Euxoa decora" 0.0517819260825421
"Euxoa distinguenda" 0.0388222300021049
"Euxoa eruta" 0.0397617243640738
"Euxoa nigricans" 0.0407108963337271
"Euxoa obelisca" 0.0426381486857565
"Euxoa recussa" 0.0446037432697434
"Euxoa vitta" 0.0446037432697434
"Fagivorina arenaria" 0.00672682497679267
"Falcaria lacertinaria" 0.0322791359371317
"Furcula bicuspis" 0.0418827398625839
"Furcula bifida" 0.0571149890442404
"Furcula furcula" 0.0296541290320533
"Gagitodes sagittata" 0.00931662747599378
"Gandaritis pyraliata" 0.0104229156913643
"Gastropacha quercifolia" 0.201640866953024
"Gazoryctra ganna" 0.0379894589811264
"Geometra papilionaria" 0.0309136015839151
"Gluphisia crenata" 0.0283972427133516
"Gnophos furvata" 0.0253321170503547
"Gnophos obfuscata" 0.0166280799008719
"Gortyna flavago" 0.0476235124594299
"Grammodes stolida" 0.0221685652908289
"Graphiphora augur" 0.0496839457229403
"Griposia aprilina" 0.0651468207406651
"Gymnoscelis rufifasciata" 0.00248653525843811
"Gynaephora fascelina" 0.0396244271138456
"Habrosyne pyritoides" 0.0477717578411856
"Hada plebeja" 0.0378924450062069
"Hadena albimacula" 0.0407108963337271
"Hadena bicruris" 0.0426381486857565
"Hadena caesia" 0.0476235124594299
"Hadena compta" 0.0308077010417137
"Hadena confusa" 0.0351616720634722
"Hadena filograna" 0.0360621328837277
"Hadena irregularis" 0.0407108963337271
"Hadena luteocincta" 0.0360621328837277
"Hadena magnolii" 0.0333903111264273
"Hadena perplexa" 0.0360621328837277
"Hadena tephroleuca" 0.0342710532584822
"Harpyia milhauseri" 0.0979514670943585
"Hecatera bicolorata" 0.0333903111264273
"Hecatera dysodea" 0.0299668252632732
"Helicoverpa armigera" 0.0426381486857565
"Heliomata glarearia" 0.00463172595359071
"Heliothis nubigera" 0.0507282559225989
"Heliothis peltigera" 0.0486490221979701
"Heliothis viriplaca" 0.0308077010417137
"Helotropha leucostigma" 0.0431259620971993
"Hemistola chrysoprasaria" 0.00967699057636693
"Hemithea aestivaria" 0.00931662747599378
"Hepialus humuli" 0.14356011539092
"Herminia grisealis" 0.0131504621858748
"Herminia tarsicrinalis" 0.0179628977906107
"Herminia tarsipennalis" 0.0214310813748993
"Herminia tenuialis" 0.00964809309868574
"Hoplodrina ambigua" 0.0342710532584822
"Hoplodrina blanda" 0.0342710532584822
"Hoplodrina octogenaria" 0.0351616720634722
"Hoplodrina respersa" 0.0351616720634722
"Hoplodrina superstes" 0.0388222300021049
"Horisme aemulata" 0.00795754120965203
"Horisme calligraphata" 0.00672682497679267
"Horisme radicaria" 0.007022721856594
"Horisme tersata" 0.0104229156913643
"Horisme vitalbata" 0.010045730250849
"Hydraecia micacea" 0.0416697146804472
"Hydrelia flammeolaria" 0.00264879081358732
"Hydrelia sylvata" 0.00418072945559607
"Hydria cervinalis" 0.0176613755182645
"Hydria montivagata" 0.010045730250849
"Hydria undulata" 0.0112028984697103
"Hydriomena furcata" 0.00763800719467768
"Hydriomena impluviata" 0.00896457131311068
"Hydriomena ruberata" 0.0116058320493016
"Hylaea fasciaria" 0.00862075199684945
"Hyles euphorbiae" 0.268098262189062
"Hyles gallii" 0.334703823496542
"Hyles livornica" 0.389579693436423
"Hyles vespertilio" 0.273747102045418
"Hypena crassalis" 0.0148513380633561
"Hypena lividalis" 0.010109415716471
"Hypena obesalis" 0.0294843456107113
"Hypena obsitalis" 0.0207083384902403
"Hypena proboscidalis" 0.0225428641392913
