"Name_std" "overwintering_stage"
"Scopula ternata" "larva"
"Scopula umbelaria" "larva"
"Scopula virgulata" "larva"
"Scotopteryx angularia" "larva"
"Scotopteryx bipunctaria" "larva"
"Scotopteryx chenopodiata" "larva"
"Scotopteryx luridata" "larva"
"Scotopteryx moeniata" "larva"
"Scotopteryx mucronata" "larva"
"Scotopteryx octodurensis" "larva"
"Scotopteryx vicinaria" "pupa"
"Selenia dentaria" "pupa"
"Selenia lunularia" "pupa"
"Selenia tetralunaria" "pupa"
"Selidosema brunnearia" "larva"
"Selidosema plumaria" "larva"
"Siona lineata" "larva"
"Spargania luctuata" "pupa"
"Stegania cararia" "pupa"
"Stegania trimaculata" "pupa"
"Synopsia sociaria" "larva"
"Tephronia sepiaria" "larva"
"Thalera fimbrialis" "larva"
"Thera britannica" "larva"
"Thera cembrae" "larva"
"Thera cognata" "egg"
"Thera cupressata" "egg"
"Thera juniperata" "egg"
"Thera obeliscata" "larva"
"Thera variata" "larva"
"Thera vetustata" "larva"
"Theria primaria" "pupa"
"Theria rupicapraria" "pupa"
"Thetidia smaragdaria" "larva"
"Timandra comae" "larva"
"Trichopteryx carpinata" "pupa"
"Trichopteryx polycommata" "pupa"
"Triphosa dubitata" "adult"
"Triphosa sabaudiata" "adult"
"Triphosa tauteli" "adult"
"Venusia blomeri" "pupa"
"Venusia cambrica" "pupa"
"Xanthorhoe biriviata" "pupa"
"Xanthorhoe decoloraria" "larva"
"Xanthorhoe designata" "pupa"
"Xanthorhoe ferrugata" "pupa"
"Xanthorhoe fluctuata" "pupa"
"Xanthorhoe incursata" "pupa"
"Xanthorhoe montanata" "larva"
"Xanthorhoe quadrifasiata" "larva"
"Xanthorhoe spadicearia" "pupa"
"Yezognophos dilucidaria" "larva"
"Yezognophos serotinaria" "larva"
"Yezognophos vittaria" "larva"
"Gazoryctra ganna" NA
"Hepialus humuli" "larva"
"Korscheltellus fusconebulosa" "larva"
"Korscheltellus lupulina" "larva"
"Phymatopus hecta" "larva"
"Triodia sylvina" "larva"
"Cosmotriche lobulina" "larva"
"Dendrolimus pini" "larva"
"Eriogaster arbusculae" "pupa"
"Eriogaster catax" "egg"
"Eriogaster lanestris" "pupa"
"Euthrix potatoria" "larva"
"Gastropacha quercifolia" "larva"
"Lasiocampa quercus" "larva"
"Lasiocampa trifolii" "egg"
"Macrothylacia rubi" "larva"
"Malacosoma alpicola" "egg"
"Malacosoma castrensis" "egg"
"Malacosoma neustria" "egg"
"Odonestis pruni" "larva"
"Phyllodesma tremulifolia" "pupa"
"Poecilocampa alpina" "egg"
"Poecilocampa populi" "egg"
"Trichiura crataegi" "egg"
"Abrostola agnorista" "pupa"
"Abrostola asclepiadis" "pupa"
"Abrostola tripartita" "pupa"
"Abrostola triplasia" "pupa"
"Acontia trabealis" "pupa"
"Acosmetia caliginosa" "pupa"
"Acronicta aceris" "pupa"
"Acronicta alni" "pupa"
"Acronicta auricoma" "pupa"
"Acronicta cuspis" "pupa"
"Acronicta euphorbiae" "pupa"
"Acronicta leporina" "pupa"
"Acronicta megacephala" "pupa"
"Acronicta menyanthidis" "pupa"
"Acronicta psi" "pupa"
"Acronicta rumicis" "pupa"
"Acronicta strigosa" "pupa"
"Acronicta tridens" "pupa"
"Actebia multifida" "larva"
"Actebia praecox" "larva"
"Actinotia polyodon" "pupa"
"Aedia funesta" "larva"
"Aedia leucomelas" "larva"
"Agrochola helvola" "egg"
"Agrochola laevis" "egg"
"Agrochola litura" "egg"
"Agrochola lota" "egg"
"Agrochola lychnidis" "egg"
"Agrochola macilenta" "egg"
"Agrochola nitida" "egg"
"Agrochola pistacinoides" "egg"
"Agrochola ruticilla" "pupa"
"Agrotis bigramma" "larva"
"Agrotis cinerea" "larva"
"Agrotis clavis" "larva"
"Agrotis exclamationis" "larva"
"Agrotis fatidica" "larva"
"Agrotis ipsilon" "larva"
"Agrotis puta" "larva"
"Agrotis segetum" "larva"
"Agrotis simplonia" "larva"
"Agrotis trux" "larva"
"Agrotis vestigialis" "larva"
"Allophyes oxyacanthae" "egg"
"Ammoconia caecimacula" "egg"
"Ammoconia senex" "egg"
"Amphipoea fucosa" "egg"
"Amphipoea lucens" "egg"
"Amphipoea oculea" "egg"
"Amphipyra berbera" "egg"
"Amphipyra cinnamomea" "adult"
"Amphipyra livida" "egg"
"Amphipyra perflua" "egg"
"Amphipyra pyramidea" "egg"
"Amphipyra tragopoginis" "egg"
"Anaplectoides prasina" "larva"
"Anarta melanopa" "pupa"
"Anarta myrtilli" "pupa"
"Anarta odontites" "pupa"
