"taxonID" "Name_std"
"infospecies.ch:infofauna:32332" "Eublemma polygramma"
"infospecies.ch:infofauna:32334" "Eublemma purpurina"
"infospecies.ch:infofauna:32337" "Eucarta amethystina"
"infospecies.ch:infofauna:32338" "Eucarta virgo"
"infospecies.ch:infofauna:32341" "Euchalcia modestoides"
"infospecies.ch:infofauna:32342" "Euchalcia variabilis"
"infospecies.ch:infofauna:31445" "Euchoeca nebulata"
"infospecies.ch:infofauna:32344" "Eugnorisma depuncta"
"infospecies.ch:infofauna:32595" "Eugnorisma glareosa"
"infospecies.ch:infofauna:32346" "Eugraphe sigma"
"infospecies.ch:infofauna:31446" "Eulithis mellinata"
"infospecies.ch:infofauna:31447" "Eulithis populata"
"infospecies.ch:infofauna:31448" "Eulithis prunata"
"infospecies.ch:infofauna:31450" "Eulithis testata"
"infospecies.ch:infofauna:31452" "Euphyia biangulata"
"infospecies.ch:infofauna:31453" "Euphyia frustata"
"infospecies.ch:infofauna:31451" "Euphyia unangulata"
"infospecies.ch:infofauna:31455" "Eupithecia abbreviata"
"infospecies.ch:infofauna:31456" "Eupithecia abietaria"
"infospecies.ch:infofauna:31457" "Eupithecia absinthiata"
"infospecies.ch:infofauna:31465" "Eupithecia absinthiata"
"infospecies.ch:infofauna:31458" "Eupithecia actaeata"
"infospecies.ch:infofauna:31460" "Eupithecia analoga"
"infospecies.ch:infofauna:31461" "Eupithecia assimilata"
"infospecies.ch:infofauna:31464" "Eupithecia carpophagata"
"infospecies.ch:infofauna:31466" "Eupithecia cauchiata"
"infospecies.ch:infofauna:31467" "Eupithecia centaureata"
"infospecies.ch:infofauna:30671" "Eupithecia conterminata"
"infospecies.ch:infofauna:31469" "Eupithecia cretaceata"
"infospecies.ch:infofauna:31470" "Eupithecia denotata"
"infospecies.ch:infofauna:31471" "Eupithecia denticulata"
"infospecies.ch:infofauna:31473" "Eupithecia distinctaria"
"infospecies.ch:infofauna:31474" "Eupithecia dodoneata"
"infospecies.ch:infofauna:31475" "Eupithecia egenaria"
"infospecies.ch:infofauna:31476" "Eupithecia ericeata"
"infospecies.ch:infofauna:31477" "Eupithecia exiguata"
"infospecies.ch:infofauna:31478" "Eupithecia expallidata"
"infospecies.ch:infofauna:31479" "Eupithecia extraversaria"
"infospecies.ch:infofauna:31480" "Eupithecia gemellata"
"infospecies.ch:infofauna:31481" "Eupithecia graphata"
"infospecies.ch:infofauna:31482" "Eupithecia gueneata"
"infospecies.ch:infofauna:31483" "Eupithecia haworthiata"
"infospecies.ch:infofauna:31484" "Eupithecia icterata"
"infospecies.ch:infofauna:31485" "Eupithecia immundata"
"infospecies.ch:infofauna:31486" "Eupithecia impurata"
"infospecies.ch:infofauna:31487" "Eupithecia indigata"
"infospecies.ch:infofauna:31488" "Eupithecia innotata"
"infospecies.ch:infofauna:31489" "Eupithecia insigniata"
"infospecies.ch:infofauna:31490" "Eupithecia intricata"
"infospecies.ch:infofauna:31491" "Eupithecia inturbata"
"infospecies.ch:infofauna:31492" "Eupithecia irriguata"
"infospecies.ch:infofauna:31493" "Eupithecia lanceata"
"infospecies.ch:infofauna:31494" "Eupithecia laquaearia"
"infospecies.ch:infofauna:31495" "Eupithecia lariciata"
"infospecies.ch:infofauna:31496" "Eupithecia linariata"
"infospecies.ch:infofauna:31498" "Eupithecia nanata"
"infospecies.ch:infofauna:31499" "Eupithecia ochridata"
"infospecies.ch:infofauna:31500" "Eupithecia orphnata"
"infospecies.ch:infofauna:31502" "Eupithecia pernotata"
"infospecies.ch:infofauna:31503" "Eupithecia pimpinellata"
"infospecies.ch:infofauna:31504" "Eupithecia plumbeolata"
"infospecies.ch:infofauna:31506" "Eupithecia pusillata"
"infospecies.ch:infofauna:31507" "Eupithecia pyreneata"
"infospecies.ch:infofauna:31508" "Eupithecia satyrata"
"infospecies.ch:infofauna:31509" "Eupithecia schiefereri"
"infospecies.ch:infofauna:31510" "Eupithecia selinata"
"infospecies.ch:infofauna:31511" "Eupithecia semigraphata"
"infospecies.ch:infofauna:31512" "Eupithecia silenata"
